rssi_dbm,snr_db,distance_m,source
-109,4.20,960.52,salvora_gw1
-107,5.20,3252.77,salvora_gw2
-120,-13.50,5766.41,salvora_gw3
-109,4.20,961.86,salvora_gw1
-107,5.00,3247.82,salvora_gw2
-119,-12.50,5763.22,salvora_gw3
-110,5.50,950.7,salvora_gw1
-107,8.80,3249.9,salvora_gw2
-120,-15.80,5758.43,salvora_gw3
-99,7.00,1416.38,salvora_gw1
-105,5.20,4418.04,salvora_gw2
-120,-14.00,6655.7,salvora_gw3
-104,7.20,909.43,salvora_gw1
-111,3.80,3276.29,salvora_gw2
-114,2.00,1405.92,salvora_gw1
-114,2.00,4435.47,salvora_gw2
-108,9.00,1394.99,salvora_gw1
-105,9.80,4425.53,salvora_gw2
-105,5.50,810.81,salvora_gw1
-112,4.20,3259.83,salvora_gw2
-104,10.80,1306.93,salvora_gw1
-112,4.80,4403.24,salvora_gw2
-97,5.50,1367.81,salvora_gw1
-119,-15.50,4485.75,salvora_gw2
-89,9.00,1401.83,salvora_gw1
-114,0.00,4525.18,salvora_gw2
-95,10.20,1440.05,salvora_gw1
-115,0.00,4590.2,salvora_gw2
-110,7.20,1374.27,salvora_gw1
-120,-10.00,1374.14,salvora_gw1
-110,7.20,1344.89,salvora_gw1
-115,1.80,4465.96,salvora_gw2
-109,4.20,1271.99,salvora_gw1
-120,-14.50,4410.72,salvora_gw2
-115,-0.80,659.06,salvora_gw1
-119,-5.20,5535.07,salvora_gw3
-114,1.20,643.18,salvora_gw1
-118,-0.50,3197.68,salvora_gw2
-119,-12.20,5528.83,salvora_gw3
-118,-1.50,539.91,salvora_gw1
-109,3.20,3158.25,salvora_gw2
-120,-19.20,5424.75,salvora_gw3
-117,-12.00,555.9,salvora_gw1
-105,7.00,3110.58,salvora_gw2
-120,-14.50,5387.96,salvora_gw3
-118,-8.00,562.89,salvora_gw1
-103,10.20,3043.97,salvora_gw2
-117,-9.00,696.73,salvora_gw1
-95,5.80,2695.97,salvora_gw2
-119,-15.50,4911.16,salvora_gw3
-101,7.20,2683.28,salvora_gw2
-120,-9.80,667.46,salvora_gw1
-108,8.00,2724.82,salvora_gw2
